planet,state,remedy
Sun,strong,Respect father and maintain discipline
Sun,weak,Offer water to Sun every morning
Sun,combust,Avoid ego conflicts and anger
Sun,debilitated,Donate wheat on Sunday

Moon,strong,Meditation and emotional balance
Moon,weak,Donate rice on Monday
Moon,combust,Worship Lord Shiva
Moon,debilitated,Keep silver near bedside

Mars,strong,Channel energy into discipline and exercise
Mars,weak,Donate red lentils
Mars,combust,Read Hanuman Chalisa and avoid anger
Mars,debilitated,Avoid impulsive actions

Mercury,strong,Use communication and trading skills wisely
Mercury,weak,Donate green moong
Mercury,combust,Avoid overthinking and stress
Mercury,debilitated,Practice calm communication

Jupiter,strong,Teach and guide others
Jupiter,weak,Donate turmeric
Jupiter,combust,Respect teachers and elders
Jupiter,debilitated,Help poor students

Venus,strong,Maintain harmony and creativity
Venus,weak,Donate white sweets
Venus,combust,Avoid overindulgence
Venus,debilitated,Respect women and relationships

Saturn,strong,Stay disciplined and patient
Saturn,weak,Feed black dog
Saturn,combust,Help laborers and avoid negativity
Saturn,debilitated,Donate mustard oil

Rahu,strong,Use technology and innovation wisely
Rahu,weak,Float coconut in running water
Rahu,combust,Avoid addictions and manipulation
Rahu,debilitated,Meditation and grounding practices

Ketu,strong,Focus on spirituality and wisdom
Ketu,weak,Feed stray dogs
Ketu,combust,Worship Lord Ganesha
Ketu,debilitated,Donate blankets to poor
